GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
blog-app,com.blogapp.dto,CommentDto.Request,40,0,0,0,6,0,9,0,9,0
blog-app,com.blogapp.dto,PostDto.Response,43,67,0,0,1,12,11,12,11,12
blog-app,com.blogapp.dto,CommentDto.Response,70,0,0,0,9,0,15,0,15,0
blog-app,com.blogapp.dto,PostDto.Request.RequestBuilder,28,27,0,0,0,1,4,4,4,4
blog-app,com.blogapp.dto,PostDto.Summary,35,55,0,0,1,10,9,10,9,10
blog-app,com.blogapp.dto,PostDto.Summary.SummaryBuilder,20,63,0,0,0,1,1,10,1,10
blog-app,com.blogapp.dto,PostDto.Response.ResponseBuilder,25,77,0,0,0,1,1,12,1,12
blog-app,com.blogapp.dto,CommentDto.Request.RequestBuilder,36,0,0,0,1,0,6,0,6,0
blog-app,com.blogapp.dto,PostDto.Request,0,60,0,0,0,8,0,13,0,13
blog-app,com.blogapp.dto,PostDto,3,0,0,0,1,0,1,0,1,0
blog-app,com.blogapp.dto,CommentDto.Response.ResponseBuilder,64,0,0,0,1,0,9,0,9,0
blog-app,com.blogapp.dto,CommentDto,3,0,0,0,1,0,1,0,1,0
blog-app,com.blogapp.controller,PostController,35,27,0,0,6,4,5,4,5,4
blog-app,com.blogapp.controller,CommentController,29,0,0,0,6,0,4,0,4,0
blog-app,com.blogapp.controller,HealthController,12,0,0,0,2,0,2,0,2,0
blog-app,com.blogapp.service,PostService,157,177,10,6,19,45,16,8,8,8
blog-app,com.blogapp.service,CommentService,124,0,4,0,28,0,9,0,7,0
blog-app,com.blogapp.config,SecurityConfig,135,0,0,0,26,0,7,0,7,0
blog-app,com.blogapp.model,Category,57,0,0,0,8,0,12,0,12,0
blog-app,com.blogapp.model,Post.PostStatus,0,21,0,0,0,2,0,1,0,1
blog-app,com.blogapp.model,Comment.CommentBuilder,65,0,0,0,1,0,9,0,9,0
blog-app,com.blogapp.model,Post,49,73,0,0,2,12,11,14,11,14
blog-app,com.blogapp.model,Category.CategoryBuilder,56,0,2,0,1,0,8,0,7,0
blog-app,com.blogapp.model,Post.PostBuilder,45,79,1,3,0,1,5,10,4,9
blog-app,com.blogapp.model,Comment,70,0,0,0,10,0,15,0,15,0
blog-app,com.blogapp,BlogApplication,5,3,0,0,2,1,1,1,1,1
blog-app,com.blogapp.exception,ResourceNotFoundException,9,28,0,0,3,5,3,1,3,1
blog-app,com.blogapp.exception,GlobalExceptionHandler.ErrorResponse,12,0,0,0,1,0,1,0,1,0
blog-app,com.blogapp.exception,GlobalExceptionHandler,54,3,0,0,16,1,4,1,4,1
